miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target
hsa-mir-301a-3p,hsa-mir-301b-3p,4790,7124,1,0,0,0,0.012,0.0315,0
hsa-mir-301a-3p,hsa-mir-301b-3p,4790,683,1,0,0,0,0.1325,0.0495,0.0095
hsa-mir-301a-3p,hsa-mir-301b-3p,4790,6347,1,0,0,0,0.173,0.03,0
hsa-mir-301a-3p,hsa-mir-301b-3p,4790,597,1,0,0,0,0.042,0.0245,0.003
hsa-mir-301a-3p,hsa-mir-301b-3p,4790,3553,1,0,0,0,0.121,0.081,0
hsa-mir-301a-3p,hsa-mir-301b-3p,4790,1437,1,0,0,0,0.029,0.0125,0
hsa-mir-301a-3p,hsa-mir-301b-3p,4790,1435,1,0,0,0,0.1305,0.0285,0.0015
hsa-mir-34b-3p,hsa-mir-34c-5p,7528,79102,1,0.0035,0,0.001,0.06,0.0525,0.0095
hsa-mir-29a-5p,hsa-mir-93-3p,1997,5583,1,0.0005,0,0.0005,0.0825,0.023,0.0075
hsa-mir-29b-3p,hsa-mir-30b-5p,144455,226,1,0,0,0.0045,0.855,0.0175,0.0035
hsa-mir-29b-3p,hsa-mir-30b-5p,144455,1104,1,0,0,0.0045,0.014,0.1465,0.003
hsa-mir-106a-5p,hsa-mir-589-3p,4782,1277,1,0,0,0.0565,0.3185,0.36,0.0005
hsa-mir-145-5p,hsa-mir-193b-3p,10499,23002,1,0.001,0,0.011,0.5115,0.079,0.0005
hsa-mir-204-5p,hsa-mir-503-5p,6667,7528,1,0.0065,0,0.505,0.0285,0.016,0
