"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target"
"hsa-let-7g-3p","hsa-mir-130a-3p",26959,"HBP1",10609,"P3H4",-1,5e-04,0,0,0.0615,0.4725,0.004
"hsa-mir-183-5p","hsa-mir-301b-3p",1316,"KLF6",10938,"EHD1",1,0,0.002,0.355,0.0105,0.0685,0.0075
"hsa-mir-183-5p","hsa-mir-96-5p",367,"AR",11030,"RBPMS",1,0,0,5e-04,0.015,0.13,5e-04
"hsa-mir-192-5p","hsa-mir-19a-3p",2099,"ESR1",22795,"NID2",1,0,0.0065,0.705,0.442,0.05,0.0015
"hsa-mir-26b-3p","hsa-mir-362-5p",7003,"TEAD1",23002,"DAAM1",1,0.005,0,0.088,0.0825,0.4795,0
"hsa-mir-145-5p","hsa-mir-193b-3p",10499,"NCOA2",23002,"DAAM1",1,0.001,0,0.011,0.5115,0.079,5e-04
"hsa-mir-203a-3p","hsa-mir-30b-5p",860,"RUNX2",23236,"PLCB1",1,0,0.001,0.061,0.058,0.1225,0.0035
"hsa-mir-363-3p","hsa-mir-421",1523,"CUX1",23274,"CLEC16A",1,0,0,0.029,0.666,0.024,0.0075
"hsa-mir-20b-5p","hsa-mir-421",1523,"CUX1",23274,"CLEC16A",1,0,0,0.006,0.3875,0.0185,0.001
"hsa-mir-203a-3p","hsa-mir-20a-5p",6925,"TCF4",23505,"TMEM131",1,5e-04,0,0.057,0.403,0.0725,0.0015
"hsa-mir-130a-3p","hsa-mir-301a-3p",11016,"ATF7",24139,"EML2",1,0,0,0.0045,0.848,0.0625,0.0055
"hsa-mir-223-5p","hsa-mir-33a-5p",27086,"FOXP1",26121,"PRPF31",-1,0.0035,0,0.5445,0.574,0.017,0.0025
